time	V(n001)	V(n002)
7.047001912367655e-002	9.906348e+000	4.907110e+000
7.056767537367654e-002	9.949891e+000	4.912910e+000
7.066533162367654e-002	9.979950e+000	4.916274e+000
7.076298787367653e-002	9.996484e+000	4.917990e+000
7.086064412367653e-002	9.999470e+000	4.918289e+000
7.095830037367652e-002	9.988905e+000	4.917174e+000
7.105595662367652e-002	9.964802e+000	4.914486e+000
7.115361287367651e-002	9.927195e+000	4.909804e+000
7.125126912367651e-002	9.876134e+000	4.902237e+000
7.134892537367650e-002	9.811688e+000	4.889772e+000
7.144658162367649e-002	9.733946e+000	4.868745e+000
7.154423787367649e-002	9.643012e+000	4.835196e+000
7.164189412367648e-002	9.539009e+000	4.788308e+000
7.173955037367648e-002	9.422079e+000	4.730970e+000
7.183720662367647e-002	9.292379e+000	4.666052e+000
7.193486287367647e-002	9.150087e+000	4.594626e+000
7.203251912367646e-002	8.995394e+000	4.516954e+000
7.232548787367644e-002	8.459090e+000	4.247666e+000
7.261845662367643e-002	7.819704e+000	3.926617e+000
7.291142537367641e-002	7.085026e+000	3.557718e+000
7.320439412367640e-002	6.264009e+000	3.145466e+000
7.349736287367638e-002	5.366659e+000	2.694884e+000
7.379033162367636e-002	4.403911e+000	2.211463e+000
7.408330037367635e-002	3.387496e+000	1.701096e+000
7.437626912367633e-002	2.329801e+000	1.170002e+000
7.466923787367631e-002	1.243715e+000	6.246564e-001
7.486455037367630e-002	5.104112e-001	2.564546e-001
7.496220662367630e-002	1.424728e-001	7.171074e-002
7.505986287367629e-002	-2.256586e-001	-1.131260e-001
7.515751912367628e-002	-5.934842e-001	-2.977912e-001
7.525517537367628e-002	-9.605054e-001	-4.765359e-001
7.535283162367627e-002	-1.326225e+000	-6.207532e-001
7.542948822995027e-002	-1.612067e+000	-6.815092e-001
7.551002756601521e-002	-1.910933e+000	-7.050800e-001
7.560768381601521e-002	-2.270928e+000	-7.196997e-001
